id,name,oscar,highest,lowest,birth,place,movie1_title,movie1_tomato,movie1_audience,movie1_release,movie1_director,movie2_title,movie2_tomato,movie2_audience,movie2_release,movie2_director,movie3_title,movie3_tomato,movie3_audience,movie3_release,movie3_director,movie4_title,movie4_tomato,movie4_audience,movie4_release,movie4_director,movie5_title,movie5_tomato,movie5_audience,movie5_release,movie5_director,movie6_title,movie6_tomato,movie6_audience,movie6_release,movie6_director,movie7_title,movie7_tomato,movie7_audience,movie7_release,movie7_director,movie8_title,movie8_tomato,movie8_audience,movie8_release,movie8_director,movie9_title,movie9_tomato,movie9_audience,movie9_release,movie9_director,movie10_title,movie10_tomato,movie10_audience,movie10_release,movie10_director
43,Greta Garbo, Nominated for 4 Oscars., Love (1927), Two-Faced Woman (1941)," Sep 18, 1905"," Stockholm, Stockholms län, Sweden", Conquest,100,48,1937, Clarence Brown, Love,100,Not Available,1927, Edmund Goulding, Ninotchka,97,89,1939, Ernst Lubitsch, Anna Karenina,93,70,1935, Clarence Brown, Camille,93,83,1936, George Cukor, Flesh and the Devil,93,84,1926, Clarence Brown, As You Desire Me,86,58,1932, George Fitzmaurice, Grand Hotel,86,77,1932, Edmund Goulding, Queen Christina,83,84,1933, Rouben Mamoulian, The Mysterious Lady,80,74,1928, Fred Niblo
44,Olivia de Havilland, Won 2 Oscars., Captain Blood (1935), The Swarm (1978)," Jul 01, 1916"," Tokyo, Japan", Captain Blood,100,89,1935, Michael Curtiz, Dodge City,100,74,1939, Michael Curtiz, Hold Back the Dawn,100,76,1941, Mitchell Leisen, The Adventures of Robin Hood,100,89,1938, Michael Curtiz, The Heiress,100,93,1949, William Wyler, The Snake Pit,100,83,1948, Anatole Litvak, The Strawberry Blonde,100,73,1941, Raoul Walsh, A Midsummer Night's Dream,91,62,1935, William Dieterle, Gone With the Wind,91,92,1939, Victor Fleming, Santa Fe Trail,83,51,1940, Michael Curtiz
45,Charles Chaplin, Won 1 Oscar., Modern Times (1936), A Countess From Hong Kong (1967)," Apr 16, 1889"," London, England, UK", Modern Times,100,95,1936, Charlie Chaplin, The Gold Rush,100,93,1925, Charles Chaplin, The Kid,100,95,1921, Charlie Chaplin, City Lights,98,96,1931, Charles Chaplin, Limelight,97,90,1952, Charles Chaplin, Monsieur Verdoux,97,88,1947, Charles Chaplin, The Circus,96,94,1928, Charlie Chaplin, Charlie: The Life and Art of Charles Chaplin,95,90,2003, Richard Schickel, The Great Dictator,93,95,1940, Charles Chaplin, A Woman of Paris,92,75,1923, Charles Chaplin
46,Setsuko Hara, No Significant Award Wins or Nominations., Tokyo Twilight (1957), The Idiot (1951)," Jun 17, 1920"," Yokohama, Japan", Early Summer,100,92,1951, Yasujirô Ozu, Late Autumn,100,86,1960, Yasujirô Ozu, Late Spring,100,92,1949, Yasujirô Ozu, No Regrets for Our Youth,100,73,1946, Akira Kurosawa, The End of Summer,100,85,1962, Yasujirô Ozu, Tokyo Story,100,93,1953, Yasujirô Ozu, Tokyo Twilight,100,93,1957, Yasujirô Ozu, The Idiot,70,73,1951, Akira Kurosawa, Here's to the Young Lady,Not Available,Not Available,1949, Keisuke Kinoshita, Kôchiyama Sôshun (Priest of Darkness),Not Available,Not Available,1936, Sadao Yamanaka
47,Julie Andrews, Won 1 Oscar., Mary Poppins (1964), Unconditional Love (2002)," Oct 01, 1935"," Walton-on-Thames, Surrey, England, UK", Mary Poppins,98,86,1964, Robert Stevenson, Victor/Victoria,97,86,1982, Blake Edwards, Enchanted,93,80,2007, Kevin Lima, The Americanization of Emily,93,82,1964, Arthur Hiller, The Boys: The Sherman Brothers' Story,90,87,2009, Gregory V. Sherman, Thoroughly Modern Millie,90,81,1967, George Roy Hill, Shrek 2,89,69,2004, Andrew Adamson, The Sound of Music,83,91,1965, Robert Wise, S.O.B.,82,63,1981, Blake Edwards, Despicable Me,81,82,2010, Chris Renaud
48,Montgomery Clift, Nominated for 4 Oscars., The Heiress (1949), Raintree County (1957)," Oct 17, 1920"," Omaha, Nebraska, USA", Red River,100,87,1948, Howard Hawks, The Heiress,100,93,1949, William Wyler, The Search,100,91,1948, Fred Zinnemann, Wild River,100,83,1960, Elia Kazan, The Misfits,97,78,1961, John Huston, From Here to Eternity,92,84,1953, Fred Zinnemann, Judgment at Nuremberg,91,93,1961, Stanley Kramer, I Confess,80,76,1953, Alfred Hitchcock, A Place in the Sun,78,84,1951, George Stevens, The Young Lions,71,77,1958, Edward Dmytryk
49,Isabelle Huppert, Nominated for 1 Oscar., Lumiere and Company (1995), My Mother (2004)," Mar 16, 1953"," Paris, France", At First Sight,100,86,1983, Diane Kurys, Cactus,100,70,1986, Paul Cox, Cesar and Rosalie,100,83,1972, Claude Sautet, Every Man for Himself,100,65,1980, Jean-Luc Godard, Folies Bergère,100,64,2014, Marc Fitoussi, Lumiere and Company,100,77,1995, Merzak Allouache, Macadam Stories,100,76,2015, Samuel Benchetrit, Things to Come,99,71,2016, Mia Hansen-Løve, A Judgment in Stone,93,88,1995, Claude Chabrol, Amour,93,82,2012, Michael Haneke
50,Al Pacino, Won 1 Oscar., Salomé (2013), Jack and Jill (2011)," Apr 25, 1940"," East Harlem, New York, USA", Salomé,100,Not Available,2013, Al Pacino, The Godfather,97,98,1972, Francis Ford Coppola, Dog Day Afternoon,96,90,1975, Sidney Lumet," The Godfather, Part II",96,97,1974, Francis Ford Coppola, The Insider,96,90,1999, Michael Mann, Glengarry Glen Ross,95,88,1992, James Foley, The Irishman,95,86,2019, Martin Scorsese, Insomnia,92,77,2002, Christopher Nolan, Serpico,90,88,1973, Sidney Lumet, Scent of a Woman,89,92,1992, Martin Brest
51,Kirk Douglas, Nominated for 3 Oscars., Grand Prix (1966), The Villain (1979)," Dec 09, 1916"," Amsterdam, New York, USA", Grand Prix,100,88,1966, John Frankenheimer, The Strange Love of Martha Ivers,100,74,1946, Lewis Milestone, Cameraman: The Life & Work of Jack Cardiff,97,91,2010, Craig McCall, Out of the Past,95,92,1947, Jacques Tourneur, Paths of Glory,95,95,1957, Stanley Kubrick, A Letter to Three Wives,94,86,1949, Joseph L. Mankiewicz, Champion,93,74,1949, Mark Robson, Lonely Are the Brave,93,85,1962, David Miller, Spartacus,93,87,1960, Stanley Kubrick, Ace in the Hole,92,92,1951, Billy Wilder
52,Marcello Mastroianni, Nominated for 3 Oscars.," Marcello Mastroianni: I Remember, Yes I Remember (1997)", Diary of Forbidden Dreams (1973)," Sep 28, 1924"," Fontana Liri, Italy", A Special Day,100,92,1977, Ettore Scola, Dark Eyes,100,92,1987, Nikita Mikhalkov," Divorce, Italian Style",100,93,1962, Pietro Germi," Marcello Mastroianni: I Remember, Yes I Remember",100,82,1997, Anna Maria Tato,8 1/2,98,92,1963, Federico Fellini, La dolce vita,96,90,1960, Federico Fellini, Big Deal on Madonna Street,89,90,1958, Mario Monicelli, The Organizer,88,89,1963, Mario Monicelli, White Nights,88,89,1957, Luchino Visconti, The Night,84,91,1961, Michelangelo Antonioni
53,Gene Kelly, Nominated for 1 Oscar., Singin' in the Rain (1952), Viva Knievel! (1977)," Aug 23, 1912"," Pittsburgh, Pennsylvania, USA", For Me and My Gal,100,83,1942, Busby Berkeley, Les Girls,100,71,1957, George Cukor, Singin' in the Rain,100,95,1952, Stanley Donen, Summer Stock,100,83,1950, Charles Walters, That's Entertainment!,100,85,1974, Jack Haley Jr., That's Entertainment! III,100,82,1994, Bud Friedgen, The Young Girls of Rochefort,98,84,1967, Jacques Demy, An American in Paris,96,79,1951, Vincente Minnelli, Cover Girl,95,70,1944, Charles Vidor, On the Town,93,83,1949, Stanley Donen
54,Will Smith, Nominated for 2 Oscars., To All the Boys I've Loved Before (2018), After Earth (2013)," Sep 25, 1968"," Philadelphia, Pennsylvania, USA", The Fresh Prince of Bel-Air Reunion,100,85,2020, Marcus Raboy, To All the Boys I've Loved Before,96,86,2018, Susan Johnson, Dads,94,97,2019, Bryce Dallas Howard, Free Angela and All Political Prisoners,93,83,2012, Shola Lynch, Men in Black,92,79,1997, Barry Sonnenfeld, Six Degrees of Separation,88,71,1993, Fred Schepisi, Saving Face,86,88,2004, Alice Wu, Where the Day Takes You,80,74,1992, Marc Rocco, Bad Boys for Life,77,96,2020, Adil El Arbi, Spies in Disguise,76,92,2019, Troy Quane
55,Toshirô Mifune, Nominated for 1 Primetime Emmy., The Bad Sleep Well (1960), Inchon! (1981)," Apr 01, 1920"," Tsingtao, China", Grand Prix,100,88,1966, John Frankenheimer, Life of Oharu,100,89,1952, Kenji Mizoguchi, Rebellion,100,93,1967, Masaki Kobayashi, Sanjuro,100,95,1962, Akira Kurosawa, Seven Samurai,100,97,1954, Akira Kurosawa, The Bad Sleep Well,100,92,1960, Akira Kurosawa, Rashomon,98,93,1950, Akira Kurosawa, The Hidden Fortress,97,92,1958, Akira Kurosawa, High and Low,95,96,1963, Akira Kurosawa, Stray Dog,95,91,1949, Akira Kurosawa
56,John Wayne, Won 1 Oscar., Sands of Iwo Jima (1949), Hellfighters (1968)," May 26, 1907"," Winterset, Iowa, USA", Baby Face,100,81,1933, Alfred E. Green, El Dorado,100,87,1967, Howard Hawks, Fort Apache,100,83,1948, John Ford, Red River,100,87,1948, Howard Hawks, Rio Bravo,100,91,1959, Howard Hawks, Sands of Iwo Jima,100,80,1949, Allan Dwan, Stagecoach,100,86,1939, John Ford, The Big Trail,100,70,1930, Raoul Walsh, The Comancheros,100,75,1961, Michael Curtiz, The Dark Command,100,72,1940, Raoul Walsh
57,Mohanlal, No Significant Award Wins or Nominations., Drishyam 2 (2021), Drishyam 2 (2021)," May 21, 1960"," Pathanamthitta, India", Drishyam 2,86,94,2021, Jeethu Joseph, 10:30 am Local Call,Not Available,Not Available,2013, Manu Sudhakaran, 2 Harihar Nagar,Not Available,60,2009, Lal,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
58,Harrison Ford, Nominated for 1 Oscar., Hearts of Darkness: A Filmmaker's Apocalypse (1991), Paranoia (2013)," Jul 13, 1942"," Chicago, Illinois, USA", Hearts of Darkness: A Filmmaker's Apocalypse,100,94,1991, Fax Bahr, Apocalypse Now,98,94,1979, Francis Ford Coppola, American Graffiti,96,84,1973, George Lucas, The Conversation,96,90,1974, Francis Ford Coppola, The Fugitive,96,89,1993, Andrew Davis, Raiders of the Lost Ark,95,96,1981, Steven Spielberg, Milius,94,87,2013, Joey Figueroa, The Empire Strikes Back,94,97,1980, Irvin Kershner, Apocalypse Now Redux,93,91,1979, Francis Ford Coppola, Star Wars: The Force Awakens,93,86,2015, J.J. Abrams
59,Gary Cooper, Won 2 Oscars., You're in the Navy Now (1951), Today We Live (1933)," May 07, 1901"," Helena, Montana, USA", Ball of Fire,100,89,1941, Howard Hawks, Beau Geste,100,85,1939, William Wellman, Desire,100,76,1936, Frank Borzage, Old Ironsides,100,60,1926, James Cruze, The Court-Martial of Billy Mitchell,100,62,1955, Otto Preminger, The Lives of a Bengal Lancer,100,72,1935, Henry Hathaway, The Plainsman,100,53,1936, Cecil B. DeMille, The Virginian,100,88,1929, Victor Fleming, The Westerner,100,76,1940, William Wyler, You're in the Navy Now,100,40,1951, Henry Hathaway
60,Forest Whitaker, Won 1 Oscar., Mysteries of the Unseen World (2013), Battlefield Earth (2000)," Jul 15, 1961"," Longview, Texas, USA", Mysteries of the Unseen World,100,75,2013, Louie Schwartzberg, Black Panther,96,79,2018, Ryan Coogler, Arrival,94,82,2016, Denis Villeneuve, Fruitvale Station,94,87,2013, Ryan Coogler, The Crying Game,94,78,1992, Neil Jordan, Smoke,93,89,1995, Wayne Wang, Songs My Brothers Taught Me,93,66,2015, Chloé Zhao, Sorry to Bother You,93,70,2018, Boots Riley, Food Chains,91,85,2014, Sanjay Rawal," Good Morning, Vietnam",90,82,1987, Barry Levinson
61,Dustin Hoffman, Won 2 Oscars., Death of a Salesman (1985), Little Fockers (2010)," Aug 08, 1937"," Los Angeles, California, USA", Death of a Salesman,100,75,1985, Volker Schlöndorff, Little Big Man,96,87,1970, Arthur Penn, Visual Acoustics: The Modernism of Julius Shulman,95,80,2008, Eric Bricker, All the President's Men,94,92,1976, Alan J. Pakula, Spielberg,92,90,2017, Susan Lacy, The Meyerowitz Stories (New and Selected),92,72,2017, Noah Baumbach, Hal,90,65,2018, Amy Scott, Tootsie,90,81,1982, Sydney Pollack, Rain Man,89,90,1988, Barry Levinson, Kramer vs. Kramer,88,89,1979, Robert Benton
62,Charlton Heston, Won 1 Oscar., The Big Country (1958), The Awakening (1980)," Oct 04, 1923"," Evanston, Illinois, USA", Khartoum,100,65,1966, Basil Dearden, The Big Country,100,90,1958, William Wyler, Cameraman: The Life & Work of Jack Cardiff,97,91,2010, Craig McCall, Major Dundee,97,67,1965, Sam Peckinpah, Bowling for Columbine,95,83,2002, Michael Moore, Hamlet,95,90,1996, Kenneth Branagh, Touch of Evil,95,92,1958, Orson Welles, El Cid,92,78,1961, Anthony Mann, The Ten Commandments,90,87,1956, Cecil B. DeMille, Ben-Hur,86,89,1959, William Wyler
63,Tom Cruise, Nominated for 3 Oscars., Mission: Impossible -- Fallout (2018), Cocktail (1988)," Jul 03, 1962"," Syracuse, New York, USA", Mission: Impossible -- Fallout,97,88,2018, Christopher McQuarrie, Mission: Impossible Rogue Nation,94,87,2015, Christopher McQuarrie, Mission: Impossible -- Ghost Protocol,93,76,2011, Brad Bird, Risky Business,92,73,1983, Paul Brickman, Shattered Glass,92,79,2003, Billy Ray, Edge of Tomorrow,91,90,2014, Doug Liman, Minority Report,90,80,2002, Steven Spielberg, Rain Man,89,90,1988, Barry Levinson, The Color of Money,89,73,1986, Martin Scorsese, Space Station,87,75,2002, Toni Myers
64,Paul Newman, Won 1 Oscar., Harper (1966), When Time Ran Out (1980)," Jan 26, 1925"," Shaker Heights, Ohio, USA", Cool Hand Luke,100,95,1967, Stuart Rosenberg, Harper,100,74,1966, Jack Smight, Our Town,100,78,2003, James Naughton, Sometimes a Great Notion,100,76,1970, Paul Newman, The Hustler,98,93,1961, Robert Rossen, Cat on a Hot Tin Roof,97,92,1958, Richard Brooks, The Sting,94,95,1973, George Roy Hill, Hombre,93,80,1967, Martin Ritt, Nobody's Fool,91,81,1994, Robert Benton, The Left Handed Gun,90,54,1958, Arthur Penn
65,Samuel L. Jackson, Nominated for 1 Oscar., I Am Not Your Negro (2016), Kite (2014)," Dec 21, 1948"," Washington, D.C., USA", Unforgivable Blackness: The Rise and Fall of Jack Johnson,100,94,2004, Kevin Burns, I Am Not Your Negro,99,83,2016, Raoul Peck, The Incredibles,97,75,2004, Brad Bird, Do the Right Thing,93,90,1989, Spike Lee, Incredibles 2,93,84,2018, Brad Bird, Out of Sight,93,74,1998, Steven Soderbergh, True Romance,93,93,1993, Tony Scott, Pulp Fiction,92,96,1994, Quentin Tarantino, Jurassic Park,91,91,1993, Steven Spielberg, Marvel's the Avengers,91,91,2012, Joss Whedon
66,Peter O'Toole, Nominated for 8 Oscars.," Goodbye, Mr. Chips (1969)", Supergirl (1984)," Aug 02, 1932"," Connemara, Galway, Ireland"," Goodbye, Mr. Chips",100,71,1969, Herbert Ross, How to Steal a Million,100,88,1966, William Wyler, My Favorite Year,96,84,1982, Richard Benjamin, Ratatouille,96,87,2007, Brad Bird, Lawrence of Arabia,95,93,1962, David Lean, Lassie,93,64,2005, Charles Sturridge, The Lion in Winter,90,90,1968, Anthony Harvey, The Stunt Man,90,74,1980, Richard Rush, The Last Emperor,89,88,1987, Bernardo Bertolucci, Dean Spanley,88,80,2008, Toa Fraser
67,Robin Williams, Won 1 Oscar., Good Will Hunting (1997), Old Dogs (2009)," Jul 21, 1951"," Chicago, Illinois, USA", Good Will Hunting,98,94,1997, Gus Van Sant, Aladdin,95,92,1992, Ron Clements, Hamlet,95,90,1996, Kenneth Branagh, Insomnia,92,77,2002, Christopher Nolan, The Adventures of Baron Munchausen,92,82,1989, Terry Gilliam," Good Morning, Vietnam",90,82,1987, Barry Levinson, Awakenings,88,89,1990, Penny Marshall, World's Greatest Dad,88,67,2009, Bobcat Goldthwait, Moscow on the Hudson,86,59,1984, Paul Mazursky, Dead Poets Society,84,92,1989, Peter Weir
68,Don Cheadle, Nominated for 1 Oscar., Things Behind the Sun (2001), After the Sunset (2004)," Nov 29, 1964"," Kansas City, Missouri, USA", Fail Safe,100,79,2000, Stephen Frears, Hamburger Hill,100,72,1987, John Irvin, Things Behind the Sun,100,79,2001, Allison Anders, Avengers: Endgame,94,90,2019, Anthony Russo, The Guard,94,81,2011, John Michael McDonagh, Boogie Nights,93,89,1997, Paul Thomas Anderson, Out of Sight,93,74,1998, Steven Soderbergh, King Leopold's Ghost,92,64,2006, Pippa Scott, Traffic,92,85,2000, Steven Soderbergh, Hotel Rwanda,91,94,2004, Terry George
69,Antonio Banderas, Nominated for 1 Oscar., Law of Desire (1987), The Music of Silence (2017)," Aug 10, 1960"," Málaga, Spain", Confessions of a Superhero,100,73,2007, Matthew Ogens, Law of Desire,100,82,1987, Pedro Almodóvar, The Celluloid Closet,97,89,1996, Rob Epstein, Pain and Glory,96,91,2019, Pedro Almodóvar, Spy Kids,93,46,2001, Robert Rodriguez, Matador,92,78,1986, Pedro Almodóvar, Labyrinth of Passion,91,69,1982, Pedro Almodovar, Women on the Verge of a Nervous Breakdown,90,89,1988, Pedro Almodóvar, Shrek 2,89,69,2004, Andrew Adamson, Puss in Boots,86,67,2011, Chris Miller
70,Eddie Murphy, Nominated for 1 Oscar., Dolemite Is My Name (2019), A Thousand Words (2012)," Apr 03, 1961"," Brooklyn, New York, USA", Dolemite Is My Name,97,91,2019, Craig Brewer, 48 HRS.,93,69,1982, Walter Hill, Shrek 2,89,69,2004, Andrew Adamson, Shrek,88,90,2001, Andrew Adamson, Trading Places,88,84,1983, John Landis, Mulan,86,85,1998, Barry Cook, Beverly Hills Cop,83,82,1984, Martin Brest, Eddie Murphy: Delirious,83,85,1983, Bruce Gowers, Bowfinger,81,61,1999, Frank Oz, Eddie Murphy Raw,81,85,1987, Robert Townsend
71,Anthony Hopkins, Won 1 Oscar., The Dresser (2015), Misconduct (2016)," Dec 31, 1937"," Margam, Port Talbot, Wales, UK", The Dresser,100,60,2015, Richard Eyre, The Father,98,90,2020, Florian Zeller, Shadowlands,97,89,1993, Richard Attenborough, The Silence of the Lambs,96,95,1991, Jonathan Demme, The Remains of the Day,95,89,1993, James Ivory, Howards End,94,82,1992, James Ivory, Thor: Ragnarok,93,87,2017, Taika Waititi, The Elephant Man,92,93,1980, David Lynch, King Lear,91,64,2018, Richard Eyre, The Lion in Winter,90,90,1968, Anthony Harvey
72,Omar Sharif, Nominated for 1 Oscar., Rock the Casbah (2013), Inchon! (1981)," Apr 10, 1932"," Alexandria, Egypt", Rock the Casbah,100,45,2013, Laïla Marrakchi, The Fall of the Roman Empire,100,68,1964, Anthony Mann, Lawrence of Arabia,95,93,1962, David Lean, Funny Girl,93,85,1968, William Wyler, Behold a Pale Horse,90,72,1964, Fred Zinnemann, Monsieur Ibrahim et les Fleurs du Coran,85,86,2003, François Dupeyron, Doctor Zhivago,84,88,1965, David Lean, Juggernaut,83,56,1974, Richard Lester, Top Secret!,77,80,1984, Jim Abrahams, Mysteries of Egypt,75,60,1998, Bruce Neibaur
73,Heath Ledger, Won 1 Oscar., The Dark Knight (2008), The Order (2003)," Apr 04, 1979"," Perth, Australia", The Dark Knight,94,94,2008, Christopher Nolan, Brokeback Mountain,87,82,2005, Ang Lee, Monster's Ball,85,67,2001, Marc Forster, I'm Not There,77,69,2007, Todd Haynes, Two Hands,71,80,1999, Gregor Jordan, 10 Things I Hate About You,69,69,1999, Gil Junger, The Imaginarium of Doctor Parnassus,64,60,2009, Terry Gilliam, The Patriot,62,81,2000, Roland Emmerich, A Knight's Tale,59,79,2001, Brian Helgeland, Lords of Dogtown,55,81,2005, Catherine Hardwicke
74,Diane Keaton, Won 1 Oscar., Lovers and Other Strangers (1970), Look Who's Talking Now (1993)," Jan 05, 1946"," Los Angeles, California, USA", Love and Death,100,90,1975, Woody Allen, Lovers and Other Strangers,100,73,1970, Cy Howard, Sleeper,100,81,1973, Woody Allen," Play It Again, Sam",97,89,1972, Herbert Ross, The Godfather,97,98,1972, Francis Ford Coppola, Annie Hall,96,92,1977, Woody Allen," The Godfather, Part II",96,97,1974, Francis Ford Coppola, Finding Dory,94,84,2016, Andrew Stanton, Manhattan,94,92,1979, Woody Allen, Manhattan Murder Mystery,93,84,1993, Woody Allen
75,Rita Hayworth, Nominated for 1 Golden Globe., Blood and Sand (1941), Down to Earth (1947)," Oct 17, 1918"," Brooklyn, New York, USA", Blood and Sand,100,68,1941, Rouben Mamoulian, Only Angels Have Wings,100,82,1939, Howard Hawks, The Strawberry Blonde,100,73,1941, Raoul Walsh, You Were Never Lovelier,100,75,1942, William A. Seiter, Cover Girl,95,70,1944, Charles Vidor, Gilda,90,88,1946, Charles Vidor, The Lady From Shanghai,83,85,1948, Orson Welles, Pal Joey,80,60,1957, George Sidney, They Came to Cordura,80,49,1959, Robert Rossen, Angels Over Broadway,67,52,1940, Ben Hecht
76,Natalie Wood, Nominated for 3 Oscars., The Ghost and Mrs. Muir (1947), Meteor (1979)," Jul 20, 1938"," San Francisco, California, USA", The Ghost and Mrs. Muir,100,88,1947, Joseph L. Mankiewicz, Miracle on 34th Street,96,87,1947, George Seaton, The Searchers,96,88,1956, John Ford, Rebel Without a Cause,92,88,1955, Nicholas Ray, West Side Story,92,84,1961, Jerome Robbins, Splendor in the Grass,82,90,1961, Elia Kazan, Love With the Proper Stranger,80,87,1963, Robert Mulligan, Bob & Carol & Ted & Alice,79,65,1969, Paul Mazursky, The Great Race,74,83,1965, Blake Edwards, Gypsy,64,74,1962, Mervyn LeRoy
77,Joan Crawford, Won 1 Oscar., Daisy Kenyon (1947), Trog (1970)," Mar 23, 1905"," San Antonio, Texas, USA", A Woman's Face,100,83,1941, George Cukor, Daisy Kenyon,100,59,1947, Otto Preminger, The Unknown,100,88,1927, Tod Browning, Johnny Guitar,93,85,1954, Nicholas Ray, The Women,92,88,1939, George Cukor, What Ever Happened to Baby Jane?,92,92,1962, Not Available, Possessed,91,77,1947, Curtis Bernhardt, Sudden Fear,91,83,1952, David Miller, Autumn Leaves,89,Not Available,1956, Robert Aldrich, Strait-Jacket,88,65,1964, William Castle
78,Susan Sarandon, Won 1 Oscar., Atlantic City (1980), The Other Side of Midnight (1977)," Oct 04, 1946"," New York, New York, USA", Atlantic City,100,77,1980, Louis Malle, Soufra,100,88,2017, Thomas A. Morgan, Survivors Guide to Prison,100,70,2018, Matthew Cooke, April and the Extraordinary World,97,77,2015, Christian Desmares, Bull Durham,97,82,1988, Ron Shelton, Bombshell: The Hedy Lamarr Story,96,85,2017, Alexandra Dean, Dead Man Walking,95,86,1995, Tim Robbins, Enchanted,93,80,2007, Kevin Lima, Little Women,92,84,1994, Gillian Armstrong, Lorenzo's Oil,92,80,1992, George Miller
79,Glenn Close, Nominated for 8 Oscars., Meeting Venus (1991), Home (2009)," Mar 19, 1947"," Greenwich, Connecticut, USA", Meeting Venus,100,75,1991, Istvan Szabo, Anne Frank Remembered,97,83,1995, Jon Blair, The Lavender Scare,96,Not Available,2017, Josh Howard, Dangerous Liaisons,93,83,1988, Stephen Frears, Guardians of the Galaxy,92,92,2014, James Gunn, Reversal of Fortune,92,78,1990, Barbet Schroeder, Tarzan,89,75,1999, Chris Buck, The Paper,88,66,1994, Ron Howard, Cookie's Fortune,86,65,1999, Robert Altman, The Girl With All the Gifts,86,67,2016, Colm McCarthy
80,Joan Fontaine, Won 1 Oscar., Rebecca (1940), The Devil's Own (1966)," Oct 22, 1917"," Tokyo, Japan", Jane Eyre,100,83,1944, Robert Stevenson, Letter From an Unknown Woman,100,86,1948, Max Opuls, Rebecca,100,92,1940, Alfred Hitchcock, Vito,100,90,2011, Jeffrey Schwarz, Suspicion,97,78,1941, Alfred Hitchcock, Gunga Din,92,74,1939, George Stevens, The Women,92,88,1939, George Cukor, Ivanhoe,81,64,1952, Richard Thorpe, The Bigamist,78,50,1953, Ida Lupino, Voyage to the Bottom of the Sea,76,39,1961, Irwin Allen
81,Julianne Moore, Won 1 Oscar., The Fugitive (1993), 6 Souls (2010)," Dec 03, 1960"," Fayetteville, North Carolina, USA", The Fugitive,96,89,1993, Andrew Davis, Short Cuts,95,88,1993, Robert Altman, Boogie Nights,93,89,1997, Paul Thomas Anderson, Children of Men,92,85,2006, Alfonso Cuarón, The Kids Are All Right,92,74,2010, Lisa Cholodenko, Gloria Bell,91,46,2018, Sebastián Lelio, Vanya on 42nd Street,89,79,1994, Louis Malle, Far From Heaven,87,80,2002, Todd Haynes, What Maisie Knew,87,80,2012, Scott McGehee, A Single Man,86,81,2009, Tom Ford
82,Regina King, Won 1 Oscar., One Night in Miami (2020), A Cinderella Story (2004)," Jan 15, 1971"," Los Angeles, California, USA", One Night in Miami,98,82,2020, Regina King, If Beale Street Could Talk,95,71,2018, Barry Jenkins, Jerry Maguire,83,79,1996, Cameron Crowe, Ray,79,87,2004, Taylor Hackford, Friday,78,91,1995, Not Available, Enemy of the State,72,78,1998, Tony Scott, Year of the Dog,69,43,2007, Mike White, The Ant Bully,62,42,2006, John A. Davis, Mighty Joe Young,55,40,1998, Ron Underwood, This Christmas,55,81,2007, Preston A. Whitmore II
83,Angelina Jolie, Won 1 Oscar., The Breadwinner (2017), Original Sin (2001)," Jun 04, 1975"," Los Angeles, California, USA", The Breadwinner,95,87,2017, Nora Twomey, Gia,92,82,1998, Michael Cristofer, First They Killed My Father,87,80,2017, Angelina Jolie, Kung Fu Panda,87,83,2008, John Stevenson, Kung Fu Panda 3,87,78,2016, Jennifer Yuh Nelson, Difret,86,70,2014, Zeresenay Berhane Mehari, Kung Fu Panda 2,81,74,2011, Jennifer Yuh Nelson, A Mighty Heart,79,70,2007, Michael Winterbottom, Serendipity,77,Not Available,2019, Prune Nourry, Beowulf,71,50,2007, Robert Zemeckis
84,Jane Fonda, Won 2 Oscars., Sunday in New York (1963), Monster-in-Law (2005)," Dec 21, 1937"," New York, New York, USA", Sunday in New York,100,77,1963, Peter Tewksbury, Jane Fonda in Five Acts,97,91,2018, Susan Lacy, Women Make Film: A New Road Movie Through Cinema,94,Not Available,2018, Mark Cousins, Klute,93,80,1971, Alan J. Pakula, On Golden Pond,93,87,1981, Mark Rydell, Hal,90,65,2018, Amy Scott, Our Souls at Night,89,75,2017, Ritesh Batra, The Chase,89,73,1966, Arthur Penn, Cat Ballou,88,74,1965, Elliot Silverstein, Tell Them Who You Are,88,66,2004, Mark Wexler
85,Liv Ullmann, Nominated for 2 Oscars., The New Land (1972), The Night Visitor (1970)," Dec 16, 1938"," Tokyo, Japan", The New Land,100,87,1972, Jan Troell, The Passion of Anna,100,84,1969, Ingmar Bergman, Ingrid Bergman: In Her Own Words,98,66,2015, Stig Björkman, Liv & Ingmar,93,80,2012, Dheeraj Akolkar, Hour of the Wolf,92,86,1968, Ingmar Bergman, The Emigrants,92,87,1971, Jan Troell, Two Lives,92,73,2012, Georg Maas, Persona,91,94,1966, Ingmar Bergman, Saraband,91,87,2003, Ingmar Bergman, Scenes From a Marriage,91,95,1973, Ingmar Bergman
